,date,open,high,low,close,volume,average,barCount
0,2010-05-10,1.290875,1.30945,1.27595,1.2787,-1,-1.0,-1
1,2010-05-11,1.278325,1.280325,1.26565,1.2662,-1,-1.0,-1
2,2010-05-12,1.266075,1.273925,1.26055,1.26135,-1,-1.0,-1
3,2010-05-13,1.26185,1.26845,1.25185,1.253475,-1,-1.0,-1
4,2010-05-14,1.252975,1.257575,1.23545,1.2359,-1,-1.0,-1
5,2010-05-17,1.235575,1.24145,1.223475,1.239525,-1,-1.0,-1
6,2010-05-18,1.239475,1.24445,1.21615,1.220225,-1,-1.0,-1
7,2010-05-19,1.218875,1.242375,1.214425,1.24155,-1,-1.0,-1
8,2010-05-20,1.2429,1.259775,1.2297,1.248625,-1,-1.0,-1
9,2010-05-21,1.246575,1.26725,1.245575,1.257075,-1,-1.0,-1
10,2010-05-24,1.25445,1.25635,1.234475,1.2372,-1,-1.0,-1
11,2010-05-25,1.235175,1.23565,1.217825,1.2345,-1,-1.0,-1
12,2010-05-26,1.236225,1.238825,1.21675,1.21785,-1,-1.0,-1
13,2010-05-27,1.2169,1.23945,1.21545,1.23615,-1,-1.0,-1
14,2010-05-28,1.23675,1.24525,1.22655,1.2273,-1,-1.0,-1
15,2010-05-31,1.22705,1.23345,1.22655,1.230575,-1,-1.0,-1
16,2010-06-01,1.230575,1.235425,1.21115,1.22285,-1,-1.0,-1
17,2010-06-02,1.22335,1.227375,1.217575,1.2249,-1,-1.0,-1
18,2010-06-03,1.2251,1.232675,1.21525,1.216175,-1,-1.0,-1
19,2010-06-04,1.21595,1.221575,1.195575,1.19665,-1,-1.0,-1
20,2010-06-07,1.19325,1.19915,1.18765,1.19235,-1,-1.0,-1
21,2010-06-08,1.191525,1.20085,1.190225,1.197325,-1,-1.0,-1
22,2010-06-09,1.197375,1.20735,1.192475,1.197825,-1,-1.0,-1
23,2010-06-10,1.198425,1.214175,1.19575,1.212425,-1,-1.0,-1
24,2010-06-11,1.211,1.215225,1.204525,1.2112,-1,-1.0,-1
25,2010-06-14,1.2131,1.22985,1.211575,1.222,-1,-1.0,-1
