,date,open,high,low,close,volume,average,barCount
0,2019-04-12,1.12555,1.132395,1.125375,1.12987,-1,-1.0,-1
1,2019-04-15,1.13027,1.132095,1.129755,1.1304,-1,-1.0,-1
2,2019-04-16,1.13035,1.131395,1.127975,1.128105,-1,-1.0,-1
3,2019-04-17,1.12853,1.132385,1.12788,1.129605,-1,-1.0,-1
4,2019-04-18,1.129725,1.130415,1.122625,1.123155,-1,-1.0,-1
5,2019-04-19,1.12304,1.12479,1.122955,1.12455,-1,-1.0,-1
6,2019-04-22,1.124255,1.126205,1.123585,1.125735,-1,-1.0,-1
7,2019-04-23,1.125705,1.126135,1.11923,1.1227,-1,-1.0,-1
8,2019-04-24,1.122375,1.12255,1.114055,1.115575,-1,-1.0,-1
9,2019-04-25,1.11531,1.11626,1.111805,1.113225,-1,-1.0,-1
10,2019-04-26,1.113325,1.117405,1.111135,1.114965,-1,-1.0,-1
11,2019-04-29,1.1148,1.11869,1.114475,1.11859,-1,-1.0,-1
12,2019-04-30,1.118575,1.122925,1.117585,1.12154,-1,-1.0,-1
13,2019-05-01,1.12162,1.126495,1.11872,1.11958,-1,-1.0,-1
14,2019-05-02,1.11965,1.121915,1.117075,1.11721,-1,-1.0,-1
15,2019-05-03,1.11745,1.12048,1.113515,1.120165,-1,-1.0,-1
16,2019-05-06,1.11757,1.12094,1.1174,1.119915,-1,-1.0,-1
17,2019-05-07,1.119775,1.121795,1.116665,1.11909,-1,-1.0,-1
18,2019-05-08,1.119235,1.121385,1.118275,1.119165,-1,-1.0,-1
19,2019-05-09,1.11915,1.125095,1.117355,1.12154,-1,-1.0,-1
20,2019-05-10,1.121695,1.125375,1.121455,1.123625,-1,-1.0,-1
21,2019-05-13,1.1244,1.12636,1.122155,1.1222,-1,-1.0,-1
22,2019-05-14,1.12225,1.124405,1.120125,1.120405,-1,-1.0,-1
23,2019-05-15,1.120525,1.122465,1.117805,1.120125,-1,-1.0,-1
24,2019-05-16,1.12045,1.122415,1.11662,1.117435,-1,-1.0,-1
25,2019-05-17,1.1176,1.118435,1.115525,1.115675,-1,-1.0,-1
26,2019-05-20,1.116675,1.117495,1.115075,1.1166,-1,-1.0,-1
27,2019-05-21,1.116895,1.11882,1.114205,1.116035,-1,-1.0,-1
28,2019-05-22,1.1162,1.118045,1.11487,1.115075,-1,-1.0,-1
29,2019-05-23,1.11535,1.118755,1.110705,1.118215,-1,-1.0,-1
30,2019-05-24,1.118275,1.121225,1.117725,1.120335,-1,-1.0,-1
31,2019-05-27,1.120975,1.121525,1.118705,1.11939,-1,-1.0,-1
32,2019-05-28,1.1194,1.119845,1.115935,1.116045,-1,-1.0,-1
33,2019-05-29,1.116425,1.117255,1.112435,1.113105,-1,-1.0,-1
34,2019-05-30,1.113675,1.114335,1.11161,1.112945,-1,-1.0,-1
35,2019-05-31,1.11315,1.117985,1.112525,1.116925,-1,-1.0,-1
36,2019-06-03,1.1161,1.126205,1.116025,1.12411,-1,-1.0,-1
37,2019-06-04,1.12435,1.127745,1.122655,1.125175,-1,-1.0,-1
38,2019-06-05,1.125405,1.130665,1.121975,1.122115,-1,-1.0,-1
39,2019-06-06,1.1223,1.13092,1.120105,1.127585,-1,-1.0,-1
40,2019-06-07,1.12773,1.134785,1.12514,1.13351,-1,-1.0,-1
41,2019-06-10,1.132775,1.133415,1.128995,1.131175,-1,-1.0,-1
42,2019-06-11,1.131345,1.133765,1.130155,1.13263,-1,-1.0,-1
43,2019-06-12,1.1329,1.134345,1.128245,1.128735,-1,-1.0,-1
44,2019-06-13,1.12892,1.130375,1.126845,1.127665,-1,-1.0,-1
45,2019-06-14,1.127675,1.128925,1.120255,1.120795,-1,-1.0,-1
46,2019-06-17,1.1215,1.12472,1.12039,1.12184,-1,-1.0,-1
47,2019-06-18,1.12202,1.124295,1.11814,1.11933,-1,-1.0,-1
48,2019-06-19,1.119525,1.12544,1.118725,1.122635,-1,-1.0,-1
49,2019-06-20,1.12284,1.131745,1.12278,1.12921,-1,-1.0,-1
50,2019-06-21,1.129085,1.137785,1.128315,1.1369,-1,-1.0,-1
51,2019-06-24,1.13668,1.14041,1.13668,1.13982,-1,-1.0,-1
52,2019-06-25,1.13986,1.141215,1.134375,1.136625,-1,-1.0,-1
53,2019-06-26,1.136875,1.139145,1.134755,1.136965,-1,-1.0,-1
54,2019-06-27,1.137125,1.138155,1.134785,1.13692,-1,-1.0,-1
55,2019-06-28,1.13691,1.139355,1.13507,1.137425,-1,-1.0,-1
56,2019-07-01,1.137675,1.137675,1.128115,1.12854,-1,-1.0,-1
57,2019-07-02,1.128675,1.13219,1.127525,1.128485,-1,-1.0,-1
58,2019-07-03,1.12885,1.131205,1.126865,1.12776,-1,-1.0,-1
59,2019-07-04,1.128075,1.129525,1.12732,1.128505,-1,-1.0,-1
60,2019-07-05,1.12833,1.12879,1.120745,1.12253,-1,-1.0,-1
61,2019-07-08,1.12265,1.12346,1.120705,1.12144,-1,-1.0,-1
62,2019-07-09,1.12145,1.121885,1.119335,1.120795,-1,-1.0,-1
63,2019-07-10,1.120775,1.126435,1.120195,1.1251,-1,-1.0,-1
64,2019-07-11,1.12555,1.128585,1.124515,1.12537,-1,-1.0,-1
65,2019-07-12,1.12551,1.127505,1.123815,1.12704,-1,-1.0,-1
66,2019-07-15,1.126675,1.128395,1.125325,1.12579,-1,-1.0,-1
67,2019-07-16,1.12656,1.12656,1.12021,1.12105,-1,-1.0,-1
68,2019-07-17,1.120875,1.123375,1.11998,1.122435,-1,-1.0,-1
69,2019-07-18,1.122675,1.128045,1.120525,1.1277,-1,-1.0,-1
70,2019-07-19,1.12768,1.128205,1.120355,1.12206,-1,-1.0,-1
71,2019-07-22,1.121875,1.122575,1.120615,1.120925,-1,-1.0,-1
72,2019-07-23,1.1209,1.12098,1.114595,1.11518,-1,-1.0,-1
73,2019-07-24,1.11514,1.115585,1.11271,1.114015,-1,-1.0,-1
74,2019-07-25,1.114045,1.11878,1.110145,1.1147,-1,-1.0,-1
75,2019-07-26,1.114695,1.115105,1.111205,1.11269,-1,-1.0,-1
76,2019-07-29,1.11292,1.115105,1.111305,1.114465,-1,-1.0,-1
77,2019-07-30,1.114695,1.116125,1.113215,1.115595,-1,-1.0,-1
78,2019-07-31,1.1158,1.11621,1.10603,1.107525,-1,-1.0,-1
79,2019-08-01,1.10752,1.109595,1.102685,1.108495,-1,-1.0,-1
80,2019-08-02,1.108415,1.111645,1.106985,1.110865,-1,-1.0,-1
